test_key,raw_fragility,relative_fragility
FHN tau,0.12827702250269213,2.441629080860593
JR v0,0.4976117274662394,9.4715580472204
JR q,0.5253747324203673,10.0
FHN a,0.2640293201071523,5.025542794774053
