model,parameter,h,time,homo_trace,hetero_trace
FHN,a,0.0,0.0,0.0,0.0
FHN,a,0.0,0.10002000400080016,0.01005502768597736,0.010055027685977347
FHN,a,0.0,0.20004000800160032,0.020228372693049373,0.020228372693049397
FHN,a,0.0,0.3000600120024005,0.030538298586774565,0.030538298586774513
FHN,a,0.0,0.40008001600320064,0.04100309514811814,0.04100309514811815
FHN,a,0.0,0.5001000200040008,0.051641652894369915,0.05164165289436981
FHN,a,0.0,0.600120024004801,0.06247346721436899,0.062473467214369124
FHN,a,0.0,0.7001400280056012,0.07351863836850371,0.0735186383685038
FHN,a,0.0,0.8001600320064013,0.08479787148871168,0.08479787148871164
FHN,a,0.0,0.9001800360072014,0.09633247657847979,0.09633247657847993
FHN,a,0.0,1.0002000400080016,0.10814436851284417,0.10814436851284434
FHN,a,0.0,1.1002200440088017,0.12025606703839023,0.1202560670383903
FHN,a,0.0,1.200240048009602,0.1326786632828937,0.13267866328289377
FHN,a,0.0,1.3002600520104022,0.14542793713673097,0.14542793713673074
FHN,a,0.0,1.4002800560112023,0.15854295307986915,0.15854295307986946
FHN,a,0.0,1.5003000600120024,0.1720606333152437,0.17206063331524388
FHN,a,0.0,1.6003200640128026,0.18601554204103965,0.1860155420410396
FHN,a,0.0,1.7003400680136027,0.2004398854506919,0.20043988545069172
FHN,a,0.0,1.8003600720144028,0.21536351173288515,0.21536351173288534
FHN,a,0.0,1.900380076015203,0.2308139110715538,0.23081391107155372
FHN,a,0.0,2.000400080016003,0.24681621564588213,0.24681621564588233
FHN,a,0.0,2.1004200840168035,0.26339319963030416,0.2633931996303041
FHN,a,0.0,2.2004400880176034,0.28056527919450364,0.2805652791945041
FHN,a,0.0,2.3004600920184037,0.2983505125034142,0.2983505125034147
FHN,a,0.0,2.400480096019204,0.3167645997172192,0.31676459971721993
FHN,a,0.0,2.500500100020004,0.33582088299135165,0.3358208829913521
FHN,a,0.0,2.6005201040208044,0.35553034647649473,0.3555303464764949
FHN,a,0.0,2.7005401080216043,0.3759016163185809,0.3759016163185799
FHN,a,0.0,2.8005601120224046,0.3969409606587927,0.39694096065879314
FHN,a,0.0,2.9005801160232045,0.4186522896335625,0.41865228963356294
FHN,a,0.0,3.000600120024005,0.4410371553745723,0.44103715537457283
FHN,a,0.0,3.100620124024805,0.4640947520087538,0.46409475200875455
FHN,a,0.0,3.200640128025605,0.48782561652913414,0.48782561652913436
FHN,a,0.0,3.3006601320264055,0.512314911861649,0.5123149118616493
FHN,a,0.0,3.4006801360272054,0.5374680467999198,0.5374680467999207
FHN,a,0.0,3.500700140028006,0.5631119248721469,0.5631119248721462
FHN,a,0.0,3.6007201440288057,0.5890806343868001,0.5890806343868017
FHN,a,0.0,3.700740148029606,0.6152154484326205,0.6152154484326213
FHN,a,0.0,3.800760152030406,0.6413648248786183,0.64136482487862
FHN,a,0.0,3.9007801560312063,0.6673844063740747,0.6673844063740753
FHN,a,0.0,4.000800160032006,0.6931370203485404,0.6931370203485393
FHN,a,0.0,4.100820164032807,0.7184926790118369,0.7184926790118371
FHN,a,0.0,4.200840168033607,0.7433285793540556,0.7433285793540562
FHN,a,0.0,4.300860172034407,0.7675291031455579,0.767529103145558
FHN,a,0.0,4.400880176035207,0.7909858169369754,0.7909858169369758
FHN,a,0.0,4.500900180036007,0.8135974720592107,0.8135974720592103
FHN,a,0.0,4.6009201840368075,0.8352700046234357,0.8352700046234375
FHN,a,0.0,4.700940188037608,0.8559165355210925,0.8559165355210907
FHN,a,0.0,4.800960192038408,0.8754573704238939,0.8754573704238929
FHN,a,0.0,4.900980196039208,0.8938199997838223,0.8938199997838204
FHN,a,0.0,5.001000200040008,0.9109390988331311,0.9109390988331303
FHN,a,0.0,5.101020204040808,0.9267565275843429,0.9267565275843442
FHN,a,0.0,5.201040208041609,0.9412213308302512,0.9412213308302501
FHN,a,0.0,5.301060212042408,0.954311143404047,0.9543111434040458
FHN,a,0.0,5.4010802160432085,0.9661544377244511,0.9661544377244518
FHN,a,0.0,5.501100220044009,0.9768272274109452,0.9768272274109462
FHN,a,0.0,5.601120224044809,0.9863923352921515,0.9863923352921516
FHN,a,0.0,5.70114022804561,0.9949185079675825,0.9949185079675827
FHN,a,0.0,5.801160232046409,1.0024804158076408,1.0024804158076395
FHN,a,0.0,5.901180236047209,1.0091585466007025,1.009158546600702
FHN,a,0.0,6.00120024004801,1.0150318104799787,1.0150318104799811
FHN,a,0.0,6.10122024404881,1.0201706807705344,1.0201706807705337
FHN,a,0.0,6.20124024804961,1.0246429042094636,1.0246429042094618
FHN,a,0.0,6.30126025205041,1.028513751489424,1.0285137514894263
FHN,a,0.0,6.40128025605121,1.0318460172586381,1.03184601725864
FHN,a,0.0,6.501300260052011,1.034700020120893,1.034700020120894
FHN,a,0.0,6.601320264052811,1.0371828982816136,1.0371828982816138
FHN,a,0.0,6.7013402680536105,1.0393666557956092,1.039366655795608
FHN,a,0.0,6.801360272054411,1.041246606661704,1.0412466066617023
FHN,a,0.0,6.901380276055211,1.0428235459843573,1.0428235459843584
FHN,a,0.0,7.001400280056012,1.0441038481920009,1.0441038481919989
FHN,a,0.0,7.101420284056811,1.0450994670370413,1.0450994670370435
FHN,a,0.0,7.201440288057611,1.045827935595858,1.0458279355958566
FHN,a,0.0,7.301460292058412,1.0463123662688043,1.0463123662688065
FHN,a,0.0,7.401480296059212,1.0465814507802071,1.0465814507802085
FHN,a,0.0,7.5015003000600124,1.0466694601783666,1.0466694601783653
FHN,a,0.0,7.601520304060812,1.046616244835557,1.0466162448355583
FHN,a,0.0,7.701540308061612,1.0464672344480255,1.046467234448027
FHN,a,0.0,7.801560312062413,1.0462734380359937,1.0462734380359953
FHN,a,0.0,7.901580316063213,1.0460909545523118,1.046090954552312
FHN,a,0.0,8.001600320064012,1.0458970178076348,1.0458970178076337
FHN,a,0.0,8.101620324064813,1.0456489382634486,1.0456489382634502
FHN,a,0.0,8.201640328065613,1.0453471897678999,1.0453471897678988
FHN,a,0.0,8.301660332066414,1.044993076606233,1.0449930766062325
FHN,a,0.0,8.401680336067214,1.0445887335007908,1.044588733500789
FHN,a,0.0,8.501700340068014,1.0441371256110148,1.0441371256110157
FHN,a,0.0,8.601720344068815,1.0436420485334448,1.0436420485334432
FHN,a,0.0,8.701740348069613,1.0431081283017187,1.0431081283017207
FHN,a,0.0,8.801760352070414,1.0425408213865734,1.0425408213865708
FHN,a,0.0,8.901780356071214,1.0419464146958437,1.0419464146958435
FHN,a,0.0,9.001800360072014,1.041332025574463,1.0413320255744625
FHN,a,0.0,9.101820364072815,1.040705601804463,1.0407056018044616
FHN,a,0.0,9.201840368073615,1.0400759216049738,1.0400759216049764
FHN,a,0.0,9.301860372074415,1.0394517802067675,1.0394517802067653
FHN,a,0.0,9.401880376075216,1.0388314421023823,1.0388314421023812
FHN,a,0.0,9.501900380076016,1.0382101312696,1.038210131269598
FHN,a,0.0,9.601920384076816,1.0375844199638735,1.0375844199638744
FHN,a,0.0,9.701940388077615,1.0369514148324956,1.0369514148324968
