model,parameter,h,time,homo_trace,hetero_trace
FHN,tau,0.0,0.0,0.0,0.0
FHN,tau,0.0,0.10002000400080016,0.01005502768597736,0.010055027685977347
FHN,tau,0.0,0.20004000800160032,0.020228372693049373,0.020228372693049397
FHN,tau,0.0,0.3000600120024005,0.030538298586774565,0.030538298586774513
FHN,tau,0.0,0.40008001600320064,0.04100309514811814,0.04100309514811815
FHN,tau,0.0,0.5001000200040008,0.051641652894369915,0.05164165289436981
FHN,tau,0.0,0.600120024004801,0.06247346721436899,0.062473467214369124
FHN,tau,0.0,0.7001400280056012,0.07351863836850371,0.0735186383685038
FHN,tau,0.0,0.8001600320064013,0.08479787148871168,0.08479787148871164
FHN,tau,0.0,0.9001800360072014,0.09633247657847979,0.09633247657847993
FHN,tau,0.0,1.0002000400080016,0.10814436851284417,0.10814436851284434
FHN,tau,0.0,1.1002200440088017,0.12025606703839023,0.1202560670383903
FHN,tau,0.0,1.200240048009602,0.1326786632828937,0.13267866328289377
FHN,tau,0.0,1.3002600520104022,0.14542793713673097,0.14542793713673074
FHN,tau,0.0,1.4002800560112023,0.15854295307986915,0.15854295307986946
FHN,tau,0.0,1.5003000600120024,0.1720606333152437,0.17206063331524388
FHN,tau,0.0,1.6003200640128026,0.18601554204103965,0.1860155420410396
FHN,tau,0.0,1.7003400680136027,0.2004398854506919,0.20043988545069172
FHN,tau,0.0,1.8003600720144028,0.21536351173288515,0.21536351173288534
FHN,tau,0.0,1.900380076015203,0.2308139110715538,0.23081391107155372
FHN,tau,0.0,2.000400080016003,0.24681621564588213,0.24681621564588233
FHN,tau,0.0,2.1004200840168035,0.26339319963030416,0.2633931996303041
FHN,tau,0.0,2.2004400880176034,0.28056527919450364,0.2805652791945041
FHN,tau,0.0,2.3004600920184037,0.2983505125034142,0.2983505125034147
FHN,tau,0.0,2.400480096019204,0.3167645997172192,0.31676459971721993
FHN,tau,0.0,2.500500100020004,0.33582088299135165,0.3358208829913521
FHN,tau,0.0,2.6005201040208044,0.35553034647649473,0.3555303464764949
FHN,tau,0.0,2.7005401080216043,0.3759016163185809,0.3759016163185799
FHN,tau,0.0,2.8005601120224046,0.3969409606587927,0.39694096065879314
FHN,tau,0.0,2.9005801160232045,0.4186522896335625,0.41865228963356294
FHN,tau,0.0,3.000600120024005,0.4410371553745723,0.44103715537457283
FHN,tau,0.0,3.100620124024805,0.4640947520087538,0.46409475200875455
FHN,tau,0.0,3.200640128025605,0.48782561652913414,0.48782561652913436
FHN,tau,0.0,3.3006601320264055,0.512314911861649,0.5123149118616493
FHN,tau,0.0,3.4006801360272054,0.5374680467999198,0.5374680467999207
FHN,tau,0.0,3.500700140028006,0.5631119248721469,0.5631119248721462
FHN,tau,0.0,3.6007201440288057,0.5890806343868001,0.5890806343868017
FHN,tau,0.0,3.700740148029606,0.6152154484326205,0.6152154484326213
FHN,tau,0.0,3.800760152030406,0.6413648248786183,0.64136482487862
FHN,tau,0.0,3.9007801560312063,0.6673844063740747,0.6673844063740753
FHN,tau,0.0,4.000800160032006,0.6931370203485404,0.6931370203485393
FHN,tau,0.0,4.100820164032807,0.7184926790118369,0.7184926790118371
FHN,tau,0.0,4.200840168033607,0.7433285793540556,0.7433285793540562
FHN,tau,0.0,4.300860172034407,0.7675291031455579,0.767529103145558
FHN,tau,0.0,4.400880176035207,0.7909858169369754,0.7909858169369758
FHN,tau,0.0,4.500900180036007,0.8135974720592107,0.8135974720592103
FHN,tau,0.0,4.6009201840368075,0.8352700046234357,0.8352700046234375
FHN,tau,0.0,4.700940188037608,0.8559165355210925,0.8559165355210907
FHN,tau,0.0,4.800960192038408,0.8754573704238939,0.8754573704238929
FHN,tau,0.0,4.900980196039208,0.8938199997838223,0.8938199997838204
FHN,tau,0.0,5.001000200040008,0.9109390988331311,0.9109390988331303
FHN,tau,0.0,5.101020204040808,0.9267565275843429,0.9267565275843442
FHN,tau,0.0,5.201040208041609,0.9412213308302512,0.9412213308302501
FHN,tau,0.0,5.301060212042408,0.954311143404047,0.9543111434040458
FHN,tau,0.0,5.4010802160432085,0.9661544377244511,0.9661544377244518
FHN,tau,0.0,5.501100220044009,0.9768272274109452,0.9768272274109462
FHN,tau,0.0,5.601120224044809,0.9863923352921515,0.9863923352921516
FHN,tau,0.0,5.70114022804561,0.9949185079675825,0.9949185079675827
FHN,tau,0.0,5.801160232046409,1.0024804158076408,1.0024804158076395
FHN,tau,0.0,5.901180236047209,1.0091585466007025,1.009158546600702
FHN,tau,0.0,6.00120024004801,1.0150318104799787,1.0150318104799811
FHN,tau,0.0,6.10122024404881,1.0201706807705344,1.0201706807705337
FHN,tau,0.0,6.20124024804961,1.0246429042094636,1.0246429042094618
FHN,tau,0.0,6.30126025205041,1.028513751489424,1.0285137514894263
FHN,tau,0.0,6.40128025605121,1.0318460172586381,1.03184601725864
FHN,tau,0.0,6.501300260052011,1.034700020120893,1.034700020120894
FHN,tau,0.0,6.601320264052811,1.0371828982816136,1.0371828982816138
FHN,tau,0.0,6.7013402680536105,1.0393666557956092,1.039366655795608
FHN,tau,0.0,6.801360272054411,1.041246606661704,1.0412466066617023
FHN,tau,0.0,6.901380276055211,1.0428235459843573,1.0428235459843584
FHN,tau,0.0,7.001400280056012,1.0441038481920009,1.0441038481919989
FHN,tau,0.0,7.101420284056811,1.0450994670370413,1.0450994670370435
FHN,tau,0.0,7.201440288057611,1.045827935595858,1.0458279355958566
FHN,tau,0.0,7.301460292058412,1.0463123662688043,1.0463123662688065
FHN,tau,0.0,7.401480296059212,1.0465814507802071,1.0465814507802085
FHN,tau,0.0,7.5015003000600124,1.0466694601783666,1.0466694601783653
FHN,tau,0.0,7.601520304060812,1.046616244835557,1.0466162448355583
FHN,tau,0.0,7.701540308061612,1.0464672344480255,1.046467234448027
FHN,tau,0.0,7.801560312062413,1.0462734380359937,1.0462734380359953
FHN,tau,0.0,7.901580316063213,1.0460909545523118,1.046090954552312
FHN,tau,0.0,8.001600320064012,1.0458970178076348,1.0458970178076337
FHN,tau,0.0,8.101620324064813,1.0456489382634486,1.0456489382634502
FHN,tau,0.0,8.201640328065613,1.0453471897678999,1.0453471897678988
FHN,tau,0.0,8.301660332066414,1.044993076606233,1.0449930766062325
FHN,tau,0.0,8.401680336067214,1.0445887335007908,1.044588733500789
FHN,tau,0.0,8.501700340068014,1.0441371256110148,1.0441371256110157
FHN,tau,0.0,8.601720344068815,1.0436420485334448,1.0436420485334432
FHN,tau,0.0,8.701740348069613,1.0431081283017187,1.0431081283017207
FHN,tau,0.0,8.801760352070414,1.0425408213865734,1.0425408213865708
FHN,tau,0.0,8.901780356071214,1.0419464146958437,1.0419464146958435
FHN,tau,0.0,9.001800360072014,1.041332025574463,1.0413320255744625
FHN,tau,0.0,9.101820364072815,1.040705601804463,1.0407056018044616
FHN,tau,0.0,9.201840368073615,1.0400759216049738,1.0400759216049764
FHN,tau,0.0,9.301860372074415,1.0394517802067675,1.0394517802067653
FHN,tau,0.0,9.401880376075216,1.0388314421023823,1.0388314421023812
FHN,tau,0.0,9.501900380076016,1.0382101312696,1.038210131269598
FHN,tau,0.0,9.601920384076816,1.0375844199638735,1.0375844199638744
FHN,tau,0.0,9.701940388077615,1.0369514148324956,1.0369514148324968
FHN,tau,0.0,9.801960392078415,1.0363087569145981,1.0363087569145968
FHN,tau,0.0,9.901980396079216,1.035654621641153,1.035654621641154
FHN,tau,0.0,10.002000400080016,1.0349877188349716,1.0349877188349703
FHN,tau,0.0,10.102020404080816,1.0343072927107055,1.034307292710707
FHN,tau,0.0,10.202040408081617,1.033613121874845,1.0336131218748463
FHN,tau,0.0,10.302060412082417,1.032905519325721,1.0329055193257224
FHN,tau,0.0,10.402080416083217,1.0321853324535033,1.0321853324535049
FHN,tau,0.0,10.502100420084018,1.0314539430402019,1.0314539430402039
FHN,tau,0.0,10.602120424084816,1.0307132672596662,1.0307132672596673
FHN,tau,0.0,10.702140428085617,1.029965755677585,1.0299657556775834
FHN,tau,0.0,10.802160432086417,1.0292143932514877,1.029214393251489
FHN,tau,0.0,10.902180436087217,1.0284626993307422,1.0284626993307444
FHN,tau,0.0,11.002200440088018,1.0277147276565568,1.0277147276565584
FHN,tau,0.0,11.102220444088818,1.0269750663619794,1.026975066361981
FHN,tau,0.0,11.202240448089618,1.0262488379718973,1.026248837971896
FHN,tau,0.0,11.302260452090419,1.0255416994030373,1.0255416994030357
FHN,tau,0.0,11.40228045609122,1.0248526673665665,1.0248526673665639
FHN,tau,0.0,11.502300460092018,1.024173923023395,1.0241739230233966
FHN,tau,0.0,11.602320464092818,1.023501989047064,1.0235019890470627
FHN,tau,0.0,11.702340468093618,1.0228337110778656,1.0228337110778656
FHN,tau,0.0,11.802360472094419,1.022166256567243,1.022166256567245
FHN,tau,0.0,11.90238047609522,1.0214971147777905,1.0214971147777885
FHN,tau,0.0,12.00240048009602,1.0208240967832538,1.0208240967832547
FHN,tau,0.0,12.10242048409682,1.0201453354685293,1.020145335468528
FHN,tau,0.0,12.20244048809762,1.0194592855296647,1.0194592855296636
FHN,tau,0.0,12.30246049209842,1.0187647234738588,1.0187647234738606
FHN,tau,0.0,12.40248049609922,1.0180607476194614,1.0180607476194592
FHN,tau,0.0,12.50250050010002,1.0173467780959733,1.0173467780959708
FHN,tau,0.0,12.60252050410082,1.0166225568440463,1.0166225568440452
FHN,tau,0.0,12.70254050810162,1.0158881476154842,1.0158881476154844
FHN,tau,0.0,12.80256051210242,1.0151439359732406,1.015143935973242
FHN,tau,0.0,12.902580516103221,1.0143906292914209,1.0143906292914224
FHN,tau,0.0,13.002600520104021,1.0136292567552814,1.0136292567552803
FHN,tau,0.0,13.102620524104822,1.0128611693612297,1.0128611693612297
FHN,tau,0.0,13.202640528105622,1.0120880399168244,1.0120880399168228
FHN,tau,0.0,13.30266053210642,1.011311863040775,1.0113118630407743
FHN,tau,0.0,13.402680536107221,1.0105349551629421,1.01053495516294
FHN,tau,0.0,13.502700540108021,1.0097599545243379,1.00975995452434
FHN,tau,0.0,13.602720544108822,1.008989821177125,1.0089898211771244
FHN,tau,0.0,13.702740548109622,1.0082278369846176,1.0082278369846167
FHN,tau,0.0,13.802760552110422,1.0074776056212806,1.0074776056212793
FHN,tau,0.0,13.902780556111223,1.0067430525727306,1.0067430525727306
FHN,tau,0.0,14.002800560112023,1.006028425135734,1.0060284251357352
FHN,tau,0.0,14.102820564112823,1.005338354722835,1.0053383547228367
FHN,tau,0.0,14.202840568113622,1.0046761383245049,1.0046761383245029
FHN,tau,0.0,14.302860572114422,1.0040370182263079,1.004037018226309
FHN,tau,0.0,14.402880576115223,1.0034149603101021,1.0034149603101001
FHN,tau,0.0,14.502900580116023,1.0028043774464792,1.0028043774464803
FHN,tau,0.0,14.602920584116823,1.0022001294947631,1.0022001294947638
FHN,tau,0.0,14.702940588117624,1.0015975233030117,1.0015975233030092
FHN,tau,0.0,14.802960592118424,1.0009923127080154,1.0009923127080171
FHN,tau,0.0,14.902980596119225,1.0003806985352972,1.000380698535296
FHN,tau,0.0,15.003000600120025,0.9997593285991142,0.9997593285991127
FHN,tau,0.0,15.103020604120823,0.9991252977024558,0.9991252977024533
FHN,tau,0.0,15.203040608121624,0.9984761476370444,0.9984761476370457
FHN,tau,0.0,15.303060612122424,0.9978098671833359,0.9978098671833352
FHN,tau,0.0,15.403080616123225,0.9971248921105187,0.9971248921105197
FHN,tau,0.0,15.503100620124025,0.9964201051765146,0.9964201051765127
FHN,tau,0.0,15.603120624124825,0.9956948361279783,0.9956948361279803
FHN,tau,0.0,15.703140628125626,0.9949488617002976,0.9949488617002953
FHN,tau,0.0,15.803160632126426,0.9941824056175933,0.9941824056175933
FHN,tau,0.0,15.903180636127226,0.9933961385927191,0.9933961385927184
FHN,tau,0.0,16.003200640128025,0.992591178327262,0.9925911783272606
FHN,tau,0.0,16.103220644128825,0.9917690895115417,0.9917690895115401
FHN,tau,0.0,16.203240648129626,0.9909318838246114,0.9909318838246116
FHN,tau,0.0,16.303260652130426,0.9900820199342568,0.9900820199342587
FHN,tau,0.0,16.403280656131226,0.9892224034969971,0.989222403496996
FHN,tau,0.0,16.503300660132027,0.988356387158084,0.9883563871580822
FHN,tau,0.0,16.603320664132827,0.9874877705515028,0.9874877705515007
FHN,tau,0.0,16.703340668133627,0.9866208002999716,0.9866208002999731
FHN,tau,0.0,16.803360672134428,0.9857601700149414,0.9857601700149415
FHN,tau,0.0,16.903380676135228,0.9849110202965964,0.9849110202965943
FHN,tau,0.0,17.00340068013603,0.9840789387338537,0.984078938733855
FHN,tau,0.0,17.10342068413683,0.9832699599043636,0.9832699599043625
FHN,tau,0.0,17.20344068813763,0.9824905653745093,0.9824905653745084
FHN,tau,0.0,17.30346069213843,0.9817476836994071,0.9817476836994092
FHN,tau,0.0,17.403480696139226,0.9810486904229064,0.9810486904229083
FHN,tau,0.0,17.503500700140027,0.9804014080775894,0.9804014080775875
FHN,tau,0.0,17.603520704140827,0.9797997954188791,0.97979979541888
FHN,tau,0.0,17.703540708141627,0.9792264586213117,0.9792264586213121
FHN,tau,0.0,17.803560712142428,0.9786736245726968,0.9786736245726964
FHN,tau,0.0,17.903580716143228,0.9781340962767139,0.978134096276715
FHN,tau,0.0,18.00360072014403,0.9776012517799417,0.9776012517799433
FHN,tau,0.0,18.10362072414483,0.9770690441718586,0.9770690441718568
FHN,tau,0.0,18.20364072814563,0.9765320015848421,0.9765320015848428
FHN,tau,0.0,18.30366073214643,0.9759852271941692,0.9759852271941714
FHN,tau,0.0,18.40368073614723,0.9754243992180159,0.9754243992180146
FHN,tau,0.0,18.50370074014803,0.974845770917458,0.9748457709174556
FHN,tau,0.0,18.60372074414883,0.9742461705964702,0.9742461705964718
FHN,tau,0.0,18.70374074814963,0.9736230016019268,0.9736230016019257
FHN,tau,0.0,18.80376075215043,0.9729742423236013,0.9729742423236017
FHN,tau,0.0,18.90378075615123,0.9722984461941665,0.9722984461941689
FHN,tau,0.0,19.003800760152032,0.9715947416891947,0.9715947416891925
FHN,tau,0.0,19.103820764152832,0.9708628323271573,0.970862832327157
FHN,tau,0.0,19.203840768153633,0.9701029966694251,0.9701029966694251
FHN,tau,0.0,19.30386077215443,0.9693160883202686,0.9693160883202693
FHN,tau,0.0,19.40388077615523,0.968503535926857,0.9685035359268569
FHN,tau,0.0,19.50390078015603,0.9676673431792593,0.9676673431792583
FHN,tau,0.0,19.60392078415683,0.9668100888104435,0.9668100888104441
FHN,tau,0.0,19.70394078815763,0.9659349265962771,0.9659349265962763
FHN,tau,0.0,19.80396079215843,0.9650455853555272,0.9650455853555261
FHN,tau,0.0,19.90398079615923,0.9641463689498596,0.9641463689498587
FHN,tau,0.0,20.004000800160032,0.96324215628384,0.9632421562838401
FHN,tau,0.0,20.104020804160832,0.9623384013049332,0.9623384013049332
FHN,tau,0.0,20.204040808161633,0.9614411330035032,0.9614411330035039
FHN,tau,0.0,20.304060812162433,0.9605569554128136,0.9605569554128127
FHN,tau,0.0,20.404080816163233,0.9596930476090271,0.9596930476090261
FHN,tau,0.0,20.504100820164034,0.9588571637112059,0.958857163711205
FHN,tau,0.0,20.604120824164834,0.9580576328813113,0.9580576328813103
FHN,tau,0.0,20.704140828165635,0.9573033593242043,0.9573033593242037
FHN,tau,0.0,20.804160832166435,0.956603822287645,0.9566038222876462
FHN,tau,0.0,20.904180836167235,0.9559690535835006,0.9559690535835014
FHN,tau,0.0,21.004200840168036,0.9553732112828065,0.9553732112828054
FHN,tau,0.0,21.104220844168832,0.954784464071033,0.9547844640710348
FHN,tau,0.0,21.204240848169633,0.9541995100376273,0.9541995100376258
FHN,tau,0.0,21.304260852170433,0.9536153242251073,0.9536153242251081
FHN,tau,0.0,21.404280856171233,0.9530291586290615,0.9530291586290633
FHN,tau,0.0,21.504300860172034,0.9524385421981484,0.9524385421981484
FHN,tau,0.0,21.604320864172834,0.9518412808340975,0.9518412808340987
FHN,tau,0.0,21.704340868173635,0.9512354573917082,0.9512354573917076
FHN,tau,0.0,21.804360872174435,0.9506194316788508,0.9506194316788498
FHN,tau,0.0,21.904380876175235,0.9499918404564655,0.9499918404564636
FHN,tau,0.0,22.004400880176036,0.9493515974385631,0.9493515974385641
FHN,tau,0.0,22.104420884176836,0.9486978932922253,0.9486978932922244
FHN,tau,0.0,22.204440888177636,0.9480301956376036,0.9480301956376033
FHN,tau,0.0,22.304460892178437,0.9473482490479203,0.94734824904792
FHN,tau,0.0,22.404480896179237,0.9466520750494678,0.9466520750494698
FHN,tau,0.0,22.504500900180037,0.9459419721216092,0.9459419721216069
FHN,tau,0.0,22.604520904180838,0.9452185156967782,0.9452185156967791
FHN,tau,0.0,22.704540908181638,0.9444825581604784,0.9444825581604771
FHN,tau,0.0,22.80456091218244,0.9437352288512842,0.9437352288512824
FHN,tau,0.0,22.904580916183235,0.9429779340608404,0.9429779340608394
FHN,tau,0.0,23.004600920184036,0.9422123570338621,0.9422123570338631
FHN,tau,0.0,23.104620924184836,0.9414404579681349,0.941440457968137
FHN,tau,0.0,23.204640928185636,0.9406644740145148,0.9406644740145148
FHN,tau,0.0,23.304660932186437,0.9398869192769282,0.9398869192769294
FHN,tau,0.0,23.404680936187237,0.9391105848123722,0.93911058481237
FHN,tau,0.0,23.504700940188037,0.9383385386309138,0.9383385386309148
FHN,tau,0.0,23.604720944188838,0.9375741256956909,0.9375741256956901
FHN,tau,0.0,23.704740948189638,0.9368209679229116,0.9368209679229124
FHN,tau,0.0,23.80476095219044,0.9360829641818544,0.9360829641818537
FHN,tau,0.0,23.90478095619124,0.9353642902948685,0.9353642902948697
FHN,tau,0.0,24.00480096019204,0.9346693990373732,0.9346693990373741
FHN,tau,0.0,24.10482096419284,0.9339988709099166,0.9339988709099173
FHN,tau,0.0,24.20484096819364,0.933334978368865,0.9333349783688631
FHN,tau,0.0,24.30486097219444,0.9326739495313022,0.9326739495313027
FHN,tau,0.0,24.40488097619524,0.9320145599382257,0.9320145599382247
FHN,tau,0.0,24.50490098019604,0.9313556804270676,0.9313556804270697
FHN,tau,0.0,24.60492098419684,0.9306962771316958,0.9306962771316972
FHN,tau,0.0,24.704940988197638,0.9300354114824131,0.930035411482412
FHN,tau,0.0,24.80496099219844,0.9293722402059572,0.9293722402059594
FHN,tau,0.0,24.90498099619924,0.9287060153255012,0.9287060153255023
FHN,tau,0.0,25.00500100020004,0.9280360841606535,0.9280360841606526
FHN,tau,0.0,25.10502100420084,0.9273618893274571,0.9273618893274572
FHN,tau,0.0,25.20504100820164,0.9266829687383907,0.9266829687383905
FHN,tau,0.0,25.30506101220244,0.9259989556023678,0.925998955602367
FHN,tau,0.0,25.40508101620324,0.9253095784247372,0.9253095784247356
FHN,tau,0.0,25.50510102020404,0.9246146610072826,0.9246146610072826
FHN,tau,0.0,25.60512102420484,0.9239141224482234,0.9239141224482238
FHN,tau,0.0,25.70514102820564,0.9232079771422133,0.9232079771422125
FHN,tau,0.0,25.805161032206442,0.9224963347803419,0.9224963347803432
FHN,tau,0.0,25.905181036207242,0.9217794003501336,0.9217794003501328
FHN,tau,0.0,26.005201040208043,0.921057474135548,0.9210574741355502
FHN,tau,0.0,26.105221044208843,0.9203309517169797,0.9203309517169781
FHN,tau,0.0,26.205241048209643,0.9196003239712586,0.9196003239712571
FHN,tau,0.0,26.305261052210444,0.9188661770716497,0.9188661770716494
FHN,tau,0.0,26.405281056211244,0.9181291924878533,0.9181291924878535
FHN,tau,0.0,26.505301060212044,0.9173901469860045,0.9173901469860047
FHN,tau,0.0,26.60532106421284,0.9166499126286739,0.916649912628672
FHN,tau,0.0,26.70534106821364,0.9159094567748668,0.9159094567748685
FHN,tau,0.0,26.805361072214442,0.9151698420800242,0.9151698420800234
FHN,tau,0.0,26.905381076215242,0.9144322264960216,0.9144322264960194
FHN,tau,0.0,27.005401080216043,0.9136978632711703,0.9136978632711688
FHN,tau,0.0,27.105421084216843,0.9129681009502162,0.9129681009502143
FHN,tau,0.0,27.205441088217643,0.9122443833743407,0.9122443833743422
FHN,tau,0.0,27.305461092218444,0.9115282496811602,0.9115282496811592
FHN,tau,0.0,27.405481096219244,0.9108213343047261,0.9108213343047272
FHN,tau,0.0,27.505501100220044,0.9101252201105975,0.9101252201105994
