model,parameter,h,time,homo_trace,hetero_trace
JR,v0,0.0,0.0,0.0,0.0
JR,v0,0.0,0.001,0.017990921313896083,0.01799092131389606
JR,v0,0.0,0.002,0.06699730565049196,0.06699730565049201
JR,v0,0.0,0.003,0.14045973885441188,0.1404597388544121
JR,v0,0.0,0.004,0.2327758925253963,0.23277589252539607
JR,v0,0.0,0.005,0.3391467665575065,0.33914676655750575
JR,v0,0.0,0.006,0.4556763216494468,0.4556763216494469
JR,v0,0.0,0.007,0.5790872052282761,0.5790872052282764
JR,v0,0.0,0.008,0.7065458469540349,0.706545846954035
JR,v0,0.0,0.009000000000000001,0.8356705126035322,0.8356705126035321
JR,v0,0.0,0.01,0.9646679688934109,0.9646679688934096
JR,v0,0.0,0.011,1.0921240480795442,1.0921240480795436
JR,v0,0.0,0.012,1.2168226999259575,1.2168226999259562
JR,v0,0.0,0.013000000000000001,1.337744059358272,1.337744059358272
JR,v0,0.0,0.014,1.4540858664838612,1.4540858664838625
JR,v0,0.0,0.015,1.5654015560618453,1.5654015560618464
JR,v0,0.0,0.016,1.6714127902277987,1.6714127902278022
JR,v0,0.0,0.017,1.7718992783103384,1.7718992783103409
JR,v0,0.0,0.018000000000000002,1.8666984640568238,1.86669846405682
JR,v0,0.0,0.019,1.9557055147810125,1.9557055147810154
JR,v0,0.0,0.02,2.038903600270405,2.038903600270402
JR,v0,0.0,0.021,2.116486925105935,2.116486925105932
JR,v0,0.0,0.022,2.1887020134002735,2.1887020134002735
JR,v0,0.0,0.023,2.2557870681479426,2.255787068147946
JR,v0,0.0,0.024,2.3179719712253117,2.317971971225317
JR,v0,0.0,0.025,2.375478283390603,2.375478283390606
JR,v0,0.0,0.026000000000000002,2.428519244283886,2.428519244283882
JR,v0,0.0,0.027,2.4773105035022436,2.4773105035022467
JR,v0,0.0,0.028,2.522175632474855,2.5221756324748483
JR,v0,0.0,0.029,2.5634658626924933,2.5634658626924884
JR,v0,0.0,0.03,2.6015071801121255,2.6015071801121237
JR,v0,0.0,0.031,2.6366039893199096,2.6366039893199154
JR,v0,0.0,0.032,2.669039113531198,2.669039113531198
JR,v0,0.0,0.033,2.699073794590533,2.699073794590534
JR,v0,0.0,0.034,2.7269476929716507,2.7269476929716547
JR,v0,0.0,0.035,2.752878887777479,2.7528788877774804
JR,v0,0.0,0.036000000000000004,2.777068575182264,2.777068575182263
JR,v0,0.0,0.037,2.7997753921795407,2.799775392179533
JR,v0,0.0,0.038,2.8212118814870024,2.821211881486995
JR,v0,0.0,0.039,2.841556696710787,2.8415566967107884
JR,v0,0.0,0.04,2.860978759055259,2.8609787590552607
JR,v0,0.0,0.041,2.8796372573230067,2.8796372573230027
JR,v0,0.0,0.042,2.8976816479148413,2.8976816479148457
JR,v0,0.0,0.043000000000000003,2.9152516548298033,2.9152516548298064
JR,v0,0.0,0.044,2.932477269665156,2.9324772696651524
JR,v0,0.0,0.045,2.949495050491377,2.949495050491375
JR,v0,0.0,0.046,2.966383601962658,2.966383601962661
JR,v0,0.0,0.047,2.9831733587490397,2.9831733587490374
JR,v0,0.0,0.048,2.999901539832936,2.999901539832934
JR,v0,0.0,0.049,3.01661224731011,3.016612247310111
JR,v0,0.0,0.05,3.0333564663896695,3.0333564663896704
JR,v0,0.0,0.051000000000000004,3.0501920653940715,3.0501920653940715
JR,v0,0.0,0.052000000000000005,3.067183795759119,3.0671837957591155
JR,v0,0.0,0.053,3.084403292033961,3.0844032920339606
JR,v0,0.0,0.054,3.101909333797149,3.101909333797152
JR,v0,0.0,0.055,3.1196704737891845,3.1196704737891814
JR,v0,0.0,0.056,3.1376401110632104,3.1376401110632073
JR,v0,0.0,0.057,3.155789186260005,3.1557891862600003
JR,v0,0.0,0.058,3.1741061909314414,3.1741061909314454
JR,v0,0.0,0.059000000000000004,3.192597167540486,3.1925971675404923
JR,v0,0.0,0.06,3.2112857094612024,3.2112857094612064
JR,v0,0.0,0.061,3.2302129609787493,3.2302129609787475
JR,v0,0.0,0.062,3.249437617289379,3.2494376172893813
JR,v0,0.0,0.063,3.26901760284518,3.269017602845173
JR,v0,0.0,0.064,3.2889083458247463,3.2889083458247437
JR,v0,0.0,0.065,3.3090597770117345,3.30905977701173
JR,v0,0.0,0.066,3.329442234328202,3.3294422343282077
JR,v0,0.0,0.067,3.350043665310112,3.350043665310119
JR,v0,0.0,0.068,3.3708696271073384,3.3708696271073317
JR,v0,0.0,0.069,3.3919432864836643,3.391943286483659
JR,v0,0.0,0.07,3.4133054198167794,3.413305419816771
JR,v0,0.0,0.07100000000000001,3.435014413098285,3.4350144130982794
